iter	Passed	Remaining
0	144	144167
1	146	72894
2	147	48978
3	148	37018
4	150	30005
5	152	25197
6	153	21756
7	154	19195
8	156	17218
9	157	15611
10	159	14295
11	160	13193
12	161	12283
13	163	11525
14	165	10835
15	166	10228
16	167	9688
17	168	9217
18	170	8793
19	171	8407
20	172	8060
21	174	7737
22	175	7457
23	177	7234
24	179	6995
25	180	6765
26	181	6558
27	183	6365
28	184	6183
29	186	6014
30	187	5855
31	188	5706
32	190	5578
33	192	5455
34	193	5328
35	194	5206
36	195	5091
37	196	4983
38	198	4886
39	199	4791
40	200	4696
41	202	4613
42	204	4549
43	206	4483
44	208	4417
45	209	4350
46	211	4289
47	212	4223
48	214	4158
49	215	4093
50	217	4040
51	218	3989
52	220	3933
53	221	3878
54	222	3824
55	223	3773
56	225	3727
57	226	3680
58	227	3634
59	229	3588
60	230	3548
61	232	3510
62	233	3478
63	235	3440
64	236	3401
65	237	3364
66	239	3329
67	240	3294
68	241	3259
69	242	3225
70	244	3193
71	245	3161
72	246	3130
73	248	3105
74	249	3076
75	250	3047
76	251	3017
77	252	2989
78	254	2962
79	255	2937
80	256	2911
81	257	2886
82	258	2856
83	259	2833
84	261	2811
85	262	2792
86	264	2772
87	265	2750
88	266	2728
89	267	2707
90	269	2689
91	270	2668
92	271	2648
93	272	2630
94	274	2610
95	275	2592
96	277	2578
97	278	2563
98	279	2544
99	280	2528
100	282	2511
101	283	2493
102	284	2476
103	285	2462
104	287	2446
105	288	2430
106	289	2415
107	291	2403
108	292	2394
109	294	2380
110	295	2365
111	296	2351
112	297	2337
113	299	2325
114	300	2312
115	301	2298
116	302	2283
117	303	2270
118	305	2258
119	306	2248
120	307	2236
121	308	2223
122	310	2211
123	311	2199
124	312	2188
125	313	2176
126	314	2164
127	316	2152
128	317	2141
129	318	2130
130	319	2120
131	321	2112
132	322	2103
133	323	2093
134	325	2082
135	326	2072
136	327	2063
137	328	2053
138	329	2043
139	331	2034
140	332	2024
141	333	2012
142	334	2004
143	336	1998
144	337	1989
145	338	1980
146	339	1971
147	340	1962
148	342	1954
149	343	1946
150	344	1938
151	345	1929
152	347	1923
153	348	1916
154	350	1911
155	352	1904
156	353	1897
157	354	1889
158	356	1883
159	357	1877
160	358	1867
161	359	1859
162	360	1852
163	361	1844
164	363	1837
165	364	1832
166	366	1826
167	367	1818
168	368	1811
169	369	1804
170	370	1798
171	372	1792
172	373	1785
173	374	1779
174	376	1773
175	377	1767
176	379	1762
177	380	1757
178	381	1751
179	383	1744
180	384	1738
181	385	1732
182	386	1726
183	388	1721
184	389	1716
185	390	1710
186	392	1704
187	393	1700
188	395	1695
189	396	1690
190	397	1685
191	399	1680
192	400	1675
193	401	1670
194	403	1664
195	404	1658
196	405	1652
197	406	1647
198	408	1644
199	410	1640
200	411	1634
201	412	1629
202	413	1625
203	415	1621
204	416	1616
205	418	1611
206	419	1605
207	420	1600
208	421	1595
209	423	1591
210	424	1587
211	425	1582
212	426	1577
213	428	1572
214	429	1568
215	430	1563
216	431	1558
217	432	1553
218	434	1547
219	435	1542
220	436	1539
221	438	1535
222	439	1531
223	440	1526
224	441	1521
225	442	1516
226	444	1512
227	445	1507
228	446	1502
229	447	1498
230	448	1494
231	450	1490
232	451	1487
233	453	1483
234	454	1479
235	455	1475
236	456	1471
237	458	1466
238	459	1462
239	460	1458
240	461	1453
241	462	1449
242	463	1445
243	465	1441
244	466	1438
245	468	1435
246	469	1431
247	470	1427
248	471	1423
249	473	1419
250	474	1415
251	475	1411
252	476	1406
253	477	1402
254	478	1399
255	480	1397
256	482	1394
257	484	1392
258	485	1388
259	486	1385
260	487	1381
261	489	1378
262	490	1374
263	491	1371
264	493	1367
265	494	1364
266	496	1362
267	497	1359
268	499	1356
269	500	1353
270	501	1349
271	502	1346
272	504	1342
273	505	1340
274	507	1336
275	508	1333
276	510	1332
277	512	1329
278	513	1326
279	514	1323
280	515	1319
281	516	1316
282	518	1312
283	519	1308
284	520	1305
285	522	1303
286	523	1301
287	525	1299
288	526	1296
289	528	1293
290	529	1291
291	531	1288
292	532	1285
293	533	1282
294	535	1278
295	536	1275
296	537	1272
297	539	1270
298	540	1268
299	542	1264
300	543	1261
301	544	1258
302	545	1255
303	546	1251
304	548	1248
305	549	1245
306	550	1242
307	551	1239
308	553	1237
309	555	1235
310	556	1232
311	557	1229
312	558	1226
313	559	1223
314	561	1220
315	562	1217
316	563	1214
317	564	1211
318	565	1208
319	567	1205
320	569	1203
321	570	1200
322	571	1197
323	572	1194
324	573	1191
325	575	1189
326	576	1186
327	577	1183
328	579	1181
329	580	1178
330	581	1175
331	583	1174
332	585	1171
333	586	1169
334	587	1166
335	588	1163
336	589	1160
337	590	1157
338	592	1154
339	593	1151
340	594	1148
341	596	1146
342	598	1145
343	599	1143
344	601	1141
345	602	1138
346	604	1136
347	605	1134
348	606	1131
349	608	1129
350	609	1126
351	611	1125
352	612	1123
353	613	1120
354	615	1117
355	616	1115
356	617	1112
357	619	1110
358	621	1108
359	622	1106
360	623	1104
361	625	1102
362	627	1100
363	628	1097
364	629	1095
365	631	1093
366	632	1090
367	633	1088
368	635	1086
369	636	1084
370	638	1081
371	639	1080
372	641	1078
373	643	1076
374	644	1074
375	645	1071
376	647	1069
377	648	1067
378	649	1064
379	650	1062
380	652	1059
381	653	1057
382	655	1055
383	656	1052
384	657	1050
385	659	1048
386	660	1046
387	661	1044
388	663	1041
389	664	1039
390	666	1037
391	667	1035
392	669	1033
393	670	1031
394	672	1029
395	673	1026
396	674	1024
397	675	1021
398	676	1019
399	678	1017
400	679	1015
401	680	1012
402	682	1010
403	683	1008
404	685	1006
405	686	1004
406	687	1001
407	688	999
408	690	997
409	691	994
410	692	992
411	694	990
412	695	988
413	696	986
414	698	984
415	699	982
416	701	980
417	702	978
418	703	975
419	705	973
420	706	971
421	707	969
422	709	967
423	710	964
424	711	963
425	713	961
426	715	959
427	716	957
428	717	955
429	719	953
430	720	951
431	722	949
432	723	947
433	724	945
434	726	943
435	727	941
436	729	939
437	731	937
438	732	936
439	733	934
440	735	932
441	736	930
442	738	927
443	739	926
444	741	924
445	742	922
446	744	920
447	745	918
448	746	916
449	747	913
450	748	911
451	749	909
452	751	907
453	752	904
454	753	902
455	754	900
456	756	898
457	757	896
458	758	894
459	760	892
460	761	890
461	762	887
462	763	885
463	764	883
464	765	881
465	767	879
466	768	876
467	769	874
468	770	872
469	772	870
470	773	868
471	774	866
472	775	864
473	776	861
474	777	859
475	778	857
476	779	855
477	781	853
478	782	850
479	783	848
480	784	846
481	785	844
482	787	842
483	788	840
484	789	838
485	790	836
486	792	834
487	793	832
488	794	830
489	795	828
490	796	826
491	797	823
492	799	821
493	800	819
494	801	818
495	803	815
496	804	813
497	805	811
498	806	809
499	807	807
500	808	805
501	809	803
502	811	801
503	812	799
504	813	797
505	814	795
506	816	793
507	817	791
508	818	789
509	819	787
510	820	785
511	821	783
512	823	781
513	824	779
514	825	777
515	826	775
516	827	773
517	829	771
518	830	769
519	831	767
520	833	765
521	834	764
522	835	762
523	836	759
524	837	758
525	839	756
526	840	754
527	841	752
528	842	750
529	843	748
530	845	746
531	846	744
532	847	742
533	849	740
534	850	739
535	851	737
536	852	735
537	854	733
538	855	731
539	856	729
540	857	727
541	858	725
542	860	723
543	861	722
544	862	720
545	863	718
546	865	716
547	866	714
548	867	712
549	868	710
550	870	709
551	871	707
552	873	705
553	874	704
554	876	702
555	877	700
556	878	698
557	880	697
558	881	695
559	882	693
560	884	691
561	885	690
562	886	688
563	888	686
564	889	685
565	891	683
566	892	681
567	894	680
568	895	678
569	897	676
570	898	675
571	900	674
572	902	672
573	903	670
574	905	669
575	907	667
576	908	666
577	910	664
578	911	662
579	912	661
580	914	659
581	915	657
582	916	655
583	918	654
584	920	652
585	921	650
586	922	649
587	924	647
588	925	645
589	927	644
590	928	642
591	930	641
592	931	639
593	933	638
594	935	636
595	939	636
596	940	634
597	941	633
598	943	631
599	944	629
600	945	627
601	947	626
602	948	624
603	950	623
604	952	621
605	954	620
606	955	618
607	957	617
608	958	615
609	960	613
610	961	612
611	962	610
612	964	608
613	965	606
614	967	605
615	968	603
616	970	602
617	971	600
618	973	599
619	975	597
620	977	596
621	979	595
622	980	593
623	982	591
624	983	590
625	985	588
626	986	586
627	987	585
628	989	583
629	990	581
630	992	580
631	993	578
632	994	576
633	995	574
634	997	573
635	998	571
636	999	569
637	1000	567
638	1002	566
639	1003	564
640	1004	562
641	1006	561
642	1007	559
643	1008	557
644	1010	556
645	1011	554
646	1012	552
647	1014	550
648	1015	549
649	1016	547
650	1017	545
651	1019	544
652	1020	542
653	1021	540
654	1023	539
655	1025	537
656	1026	535
657	1028	534
658	1030	533
659	1031	531
660	1033	530
661	1035	528
662	1037	527
663	1038	525
664	1041	524
665	1043	523
666	1044	521
667	1046	520
668	1048	518
669	1049	516
670	1051	515
671	1052	513
672	1053	512
673	1055	510
674	1056	508
675	1058	507
676	1059	505
677	1060	503
678	1061	501
679	1062	500
680	1064	498
681	1065	497
682	1067	495
683	1068	493
684	1069	492
685	1071	490
686	1072	488
687	1073	487
688	1075	485
689	1076	483
690	1077	481
691	1079	480
692	1080	478
693	1082	477
694	1083	475
695	1084	473
696	1085	472
697	1087	470
698	1088	468
699	1089	467
700	1091	465
701	1092	463
702	1094	462
703	1095	460
704	1096	458
705	1098	457
706	1099	455
707	1101	454
708	1102	452
709	1104	451
710	1105	449
711	1107	447
712	1108	446
713	1109	444
714	1111	442
715	1112	441
716	1114	439
717	1115	438
718	1117	436
719	1118	434
720	1120	433
721	1121	431
722	1123	430
723	1124	428
724	1126	427
725	1127	425
726	1129	423
727	1130	422
728	1131	420
729	1132	419
730	1133	417
731	1135	415
732	1136	414
733	1138	412
734	1139	410
735	1140	409
736	1141	407
737	1143	405
738	1144	404
739	1145	402
740	1147	400
741	1148	399
742	1149	397
743	1151	396
744	1152	394
745	1153	392
746	1154	391
747	1156	389
748	1157	387
749	1159	386
750	1160	384
751	1161	383
752	1163	381
753	1164	379
754	1166	378
755	1167	376
756	1168	375
757	1170	373
758	1172	372
759	1173	370
760	1175	369
761	1176	367
762	1178	365
763	1179	364
764	1180	362
765	1182	361
766	1183	359
767	1184	357
768	1185	356
769	1186	354
770	1187	352
771	1189	351
772	1190	349
773	1191	347
774	1192	346
775	1194	344
776	1195	343
777	1196	341
778	1197	339
779	1198	338
780	1199	336
781	1201	334
782	1202	333
783	1203	331
784	1204	329
785	1205	328
786	1206	326
787	1207	324
788	1208	323
789	1210	321
790	1211	320
791	1212	318
792	1213	316
793	1214	315
794	1215	313
795	1216	311
796	1217	310
797	1218	308
798	1219	306
799	1220	305
800	1221	303
801	1223	301
802	1224	300
803	1225	298
804	1226	297
805	1227	295
806	1228	293
807	1229	292
808	1231	290
809	1232	289
810	1233	287
811	1234	285
812	1235	284
813	1236	282
814	1238	281
815	1239	279
816	1240	277
817	1241	276
818	1242	274
819	1243	273
820	1245	271
821	1246	269
822	1247	268
823	1248	266
824	1249	265
825	1250	263
826	1251	261
827	1252	260
828	1254	258
829	1255	257
830	1256	255
831	1257	253
832	1258	252
833	1259	250
834	1260	249
835	1261	247
836	1262	245
837	1263	244
838	1264	242
839	1265	241
840	1266	239
841	1268	237
842	1269	236
843	1270	234
844	1271	233
845	1272	231
846	1273	230
847	1274	228
848	1275	226
849	1276	225
850	1277	223
851	1278	222
852	1280	220
853	1281	219
854	1282	217
855	1283	215
856	1284	214
857	1285	212
858	1286	211
859	1287	209
860	1289	208
861	1290	206
862	1291	205
863	1293	203
864	1294	202
865	1295	200
866	1296	198
867	1298	197
868	1299	195
869	1301	194
870	1302	192
871	1303	191
872	1304	189
873	1305	188
874	1307	186
875	1308	185
876	1309	183
877	1310	182
878	1312	180
879	1313	179
880	1314	177
881	1315	175
882	1316	174
883	1317	172
884	1318	171
885	1319	169
886	1320	168
887	1321	166
888	1322	165
889	1323	163
890	1324	162
891	1325	160
892	1327	159
893	1328	157
894	1329	155
895	1330	154
896	1331	152
897	1332	151
898	1333	149
899	1334	148
900	1335	146
901	1336	145
902	1337	143
903	1339	142
904	1340	140
905	1341	139
906	1342	137
907	1343	136
908	1344	134
909	1345	133
910	1346	131
911	1348	130
912	1349	128
913	1350	127
914	1351	125
915	1352	123
916	1353	122
917	1354	120
918	1355	119
919	1356	117
920	1357	116
921	1359	114
922	1360	113
923	1361	111
924	1362	110
925	1363	108
926	1365	107
927	1366	106
928	1368	104
929	1369	103
930	1371	101
931	1372	100
932	1374	98
933	1375	97
934	1376	95
935	1377	94
936	1378	92
937	1379	91
938	1380	89
939	1382	88
940	1383	86
941	1384	85
942	1385	83
943	1386	82
944	1387	80
945	1388	79
946	1389	77
947	1390	76
948	1391	74
949	1393	73
950	1394	71
951	1395	70
952	1396	68
953	1397	67
954	1398	65
955	1399	64
956	1400	62
957	1401	61
958	1402	59
959	1403	58
960	1404	57
961	1406	55
962	1407	54
963	1408	52
964	1409	51
965	1410	49
966	1412	48
967	1413	46
968	1414	45
969	1415	43
970	1416	42
971	1418	40
972	1419	39
973	1420	37
974	1421	36
975	1422	34
976	1423	33
977	1424	32
978	1425	30
979	1426	29
980	1427	27
981	1428	26
982	1430	24
983	1431	23
984	1432	21
985	1433	20
986	1434	18
987	1435	17
988	1436	15
989	1437	14
990	1438	13
991	1439	11
992	1440	10
993	1441	8
994	1442	7
995	1443	5
996	1445	4
997	1446	2
998	1447	1
999	1448	0
